2025-02-11 10:26:59,009 - evaluate - INFO - Evaluate Model: MAE: 1411.639749589951, MSE: 6623949.360651564, R2: 0.9506449253307679 


2025-02-11 10:27:33,743 - evaluate - INFO - Evaluate Model: MAE: 1411.639749589951, MSE: 6623949.360651564, R2: 0.9506449253307679 


2025-02-14 13:33:50,984 - evaluate - INFO - Evaluate Model: MAE: 1425.7485930259054, MSE: 6874116.648333559, R2: 0.9487809278134123 


2025-02-14 13:34:42,422 - evaluate - INFO - Evaluate Model: MAE: 1411.639749589951, MSE: 6623949.360651564, R2: 0.9506449253307679 


2025-02-14 13:35:10,625 - evaluate - INFO - Evaluate Model: MAE: 1411.639749589951, MSE: 6623949.360651564, R2: 0.9506449253307679 


2025-02-17 10:54:00,127 - evaluate - INFO - Evaluate Model: MAE: 1411.639749589951, MSE: 6623949.360651564, R2: 0.9506449253307679 


2025-02-17 10:54:32,994 - evaluate - INFO - Evaluate Model: MAE: 1411.639749589951, MSE: 6623949.360651564, R2: 0.9506449253307679 


2025-02-17 10:56:02,556 - evaluate - INFO - Evaluate Model: MAE: 1665.485167036885, MSE: 7636678.482366074, R2: 0.9430990763665771 


2025-02-17 10:56:56,889 - evaluate - INFO - Evaluate Model: MAE: 1735.3110825354472, MSE: 9036972.721987845, R2: 0.9326654780715821 


2025-02-17 15:52:00,051 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-17 15:52:28,661 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-17 15:53:24,151 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-17 17:20:58,083 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-17 17:22:25,193 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-18 09:17:11,733 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-18 09:17:38,133 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-18 14:52:12,816 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-18 15:02:14,289 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-18 15:04:24,845 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-18 15:25:53,070 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-18 15:27:30,763 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


